credit_score,income,loan_amount,employment_status,loan_purpose,previous_defaults,risk_label
402,140641,29312,0,2,1,0
735,77608,19080,0,2,1,0
570,109962,20082,0,1,3,0
406,120963,47861,0,0,2,0
371,60277,35677,1,2,0,0
320,51551,25874,0,3,3,0
421,109813,13378,0,3,2,0
766,76597,6597,0,3,2,0
514,121025,16600,0,2,3,0
630,144342,8747,0,2,2,1
758,65212,18879,1,3,4,0
387,29637,18017,0,2,2,0
672,63258,29815,0,3,3,0
399,55693,23964,0,1,2,0
430,29824,33812,0,2,3,0
608,149553,45200,1,1,1,1
643,46950,29714,1,1,3,0
791,43488,23890,0,2,2,0
713,147870,9725,0,3,3,0
685,124544,48205,0,0,0,0
491,135200,25684,0,1,3,0
576,20215,31325,0,2,3,0
460,125603,37542,1,1,0,0
759,31523,18092,0,3,0,0
613,95900,35382,0,2,0,0
321,88689,44770,0,0,4,0
552,43834,30457,1,2,3,0
774,54474,11131,0,1,0,0
358,63066,30215,1,2,0,0
810,119871,17612,0,2,1,1
775,30400,42305,0,1,4,0
489,145211,18091,1,0,3,0
543,30345,40103,1,3,2,0
804,53896,42089,0,2,4,0
430,105430,34759,0,0,4,1
784,48899,5559,1,3,1,0
320,126171,5713,0,1,3,0
466,48229,42361,0,0,3,0
573,137053,20184,2,0,0,0
687,25583,20261,0,2,0,0
615,24897,25372,0,1,4,0
313,140406,37140,0,2,1,0
541,91537,38024,0,1,3,0
645,129417,37544,0,3,1,0
639,24567,5037,0,2,2,1
391,94807,48032,0,1,3,0
666,149648,17697,0,1,0,0
754,132652,46420,0,0,4,0
727,97239,36707,0,2,1,0
808,33329,31016,2,2,0,0
334,121045,39600,0,3,4,0
505,137708,28984,2,1,0,0
380,91792,10167,0,0,3,0
687,20228,5432,1,1,1,0
301,110282,9151,0,1,2,0
689,102214,11411,0,1,0,0
405,57052,35788,1,2,1,0
776,77769,31623,1,1,3,0
701,66032,27104,0,3,0,0
461,131694,5256,1,0,3,0
501,108721,38439,0,0,2,0
569,53686,38257,1,1,2,0
570,96981,44657,0,0,4,0
755,118802,49674,0,1,4,0
761,83261,23066,0,2,4,0
551,22809,37746,0,0,3,0
595,123265,7460,1,2,4,0
637,61785,42297,0,2,1,0
352,56547,39743,0,3,3,0
516,62818,8216,0,3,3,0
487,120422,19267,0,0,4,0
679,91927,14581,0,1,4,0
792,85681,9515,0,1,3,1
340,99465,27076,2,1,2,0
456,109862,49816,0,1,2,0
314,115527,14776,0,3,4,0
364,133221,26947,1,1,2,0
820,57333,7963,0,1,1,0
643,146457,11786,2,2,1,1
428,36576,18866,1,1,1,0
771,139875,43968,0,1,3,1
362,59405,37305,0,3,3,0
438,114000,22360,0,0,3,0
798,93779,45113,0,2,3,0
691,51601,37813,1,2,3,0
718,87946,6193,0,0,4,0
588,87356,9512,0,2,2,0
678,72116,27666,0,1,4,0
789,120825,21630,0,1,2,0
530,144749,13983,0,0,4,0
340,137256,5636,1,3,1,0
327,124186,8775,0,3,0,1
434,82894,7421,0,2,3,0
500,54635,18025,0,3,0,0
332,27465,14280,1,3,0,0
347,76754,41951,0,3,1,0
802,117975,16351,1,3,0,1
706,112850,43091,0,3,0,0
398,129765,35171,2,3,1,0
846,105119,8644,0,3,2,0
761,112691,21142,0,2,4,0
304,58871,12773,0,1,0,0
517,82874,33466,0,3,3,0
802,97733,15778,0,1,1,0
697,49511,17501,0,0,0,0
692,100960,7108,0,1,2,0
506,68821,34369,0,0,2,0
314,85776,41382,2,2,3,0
760,138128,30818,0,1,0,0
540,90167,15251,1,0,3,0
395,95135,28341,0,1,2,0
784,64462,16678,0,2,2,0
706,81382,19367,0,1,4,1
530,110194,34672,0,0,2,0
470,123381,9332,2,3,1,1
840,52574,17002,0,3,4,0
335,122072,25284,1,3,3,0
824,61910,20700,2,2,2,0
459,93531,18769,0,3,1,0
542,45186,34318,2,2,4,0
385,114781,29323,0,3,1,0
327,42813,32610,2,2,4,0
639,98812,11963,1,2,4,0
630,105525,12838,0,1,4,0
805,98282,17243,2,3,3,0
647,129779,32939,0,1,4,0
772,38557,6845,0,0,4,0
530,48060,21766,0,3,1,0
489,78866,41880,0,3,4,0
524,92104,17780,0,3,3,0
684,120905,47856,1,3,1,0
676,104577,6509,0,1,4,0
582,26080,28957,0,1,1,0
558,33854,39346,0,2,3,0
658,142013,22263,0,1,1,0
755,87695,31148,1,2,3,0
710,47025,36533,1,0,2,0
617,72982,47608,2,1,4,0
524,61081,17931,0,2,3,0
533,24368,6359,0,3,4,0
673,119621,29532,2,0,3,1
771,139181,25344,1,2,0,0
532,47094,9242,0,0,0,0
412,66040,25601,0,3,0,1
796,86766,24116,2,3,3,1
741,103053,40477,1,2,4,0
567,43991,35782,0,2,0,0
809,21301,23880,1,3,4,0
685,48610,8499,0,2,3,0
686,101463,36587,0,3,4,1
412,54678,49458,0,1,4,0
380,44466,31020,0,2,0,0
412,100440,13080,0,0,1,0
301,60875,28207,0,3,2,0
519,46081,38957,0,1,3,0
524,44354,18908,1,2,3,0
684,113297,35652,2,3,3,0
702,38300,35344,0,1,2,1
429,84384,30034,0,2,1,0
352,115027,30788,2,3,4,0
715,141684,17751,0,3,3,0
546,80892,38793,1,3,4,1
738,55525,37839,1,2,0,0
502,46532,43314,0,1,0,0
483,26464,40453,1,3,0,0
422,36562,14385,1,1,3,0
700,127392,23232,0,1,2,0
593,75514,48344,0,0,3,1
579,133428,39790,0,1,0,0
497,132564,20831,0,1,0,0
810,128047,25125,0,1,3,0
443,94219,22682,0,1,2,1
500,52634,41870,0,1,2,0
423,20060,22288,2,2,4,0
486,29269,40794,0,0,1,0
625,83143,44477,0,3,0,0
763,43065,29405,0,0,2,0
648,22895,43737,0,0,0,0
702,100859,7620,0,3,1,0
645,32352,40414,0,1,0,0
810,130179,42633,0,3,2,0
446,69737,40057,1,1,4,0
447,124127,45138,2,3,3,1
788,116426,18854,0,2,3,1
637,52016,14677,0,0,2,0
772,81304,49111,0,1,2,1
450,31962,29074,1,0,1,0
714,53302,22824,0,1,0,0
597,105382,5765,2,3,1,0
562,24011,36615,0,3,3,0
443,149716,41860,0,3,0,0
645,39782,17975,0,2,1,0
301,87691,14341,2,3,3,0
603,140654,33141,1,3,0,0
553,142017,17334,0,2,4,0
752,59725,20835,0,0,4,0
336,29196,31548,0,0,1,0
459,63459,40434,0,1,2,0
308,107245,30039,1,0,0,0
532,149613,37530,1,1,1,0
398,98863,43736,1,1,2,0
507,143206,45409,2,0,2,0
430,139391,23565,0,0,0,0
